flux+ [cm^-2 s^-1],-err [cm^-2 s^-1],Blanco
1.655e-11,1.655e-11, 
6.56e-12,6.56e-12, 
9.53e-12,9.53e-12, 
1.327e-11,1.327e-11, 
7.017e-12,7.017e-12, 
7.8e-12,7.8e-12, 
5.416e-12,5.416e-12, 
1.68e-11,1.68e-11, 
2.031e-11,2.031e-11, 
7.8e-12,7.8e-12, 
1.762e-11,1.762e-11, 
1.186e-11,1.186e-11, 
-8.461e-13,-8.461e-13, 
5.254e-12,5.254e-12, 
6.213e-12,6.213e-12, 
3.185e-12,3.185e-12, 
3.449e-12,3.449e-12, 
8.556e-12,8.556e-12, 
1.507e-11,1.507e-11, 
1.61e-11,1.61e-11, 
1.725e-11,1.725e-11, 
1.641e-11,1.641e-11, 
5.124e-12,5.124e-12, 
4.759e-12,4.759e-12, 
1.587e-11,1.587e-11, 
1.137e-11,1.137e-11, 
1.965e-12,1.965e-12, 
6.932e-12,6.932e-12, 
-2.433e-12,-2.433e-12, 
1.245e-11,1.245e-11, 
5.962e-12,5.962e-12, 
7.398e-12,7.398e-12, 
2.905e-11,2.905e-11, 
8.195e-12,8.195e-12, 
5.84e-12,5.84e-12, 
8.316e-12,8.316e-12, 
1.286e-11,1.286e-11, 
6.372e-12,6.372e-12, 
5.652e-12,5.652e-12, 
-4.129e-12,-4.129e-12, 
3.65e-12,3.65e-12, 
1.332e-11,1.332e-11, 
7.308e-12,7.308e-12, 
1.244e-11,1.244e-11, 
1.205e-11,1.205e-11, 
1.17e-11,1.17e-11, 
-1.082e-12,-1.082e-12, 
3.286e-12,3.286e-12, 
5.843e-12,5.843e-12, 
6.272e-12,6.272e-12, 
1.135e-11,1.135e-11, 
6.02e-12,6.02e-12, 
7.293e-12,7.293e-12, 
5.178e-12,5.178e-12, 
7.376e-12,7.376e-12, 
1.1e-11,1.1e-11, 
9.144e-12,9.144e-12, 
3.478e-12,3.478e-12, 
3.124e-13,3.124e-13, 
2.544e-12,2.544e-12, 
-1.143e-12,-1.143e-12, 
5.16e-12,5.16e-12, 
-5.133e-13,-5.133e-13, 
3.011e-12,3.011e-12, 
2.453e-12,2.453e-12, 
8.695e-12,8.695e-12, 
4.112e-12,4.112e-12, 
1.581e-12,1.581e-12, 
6.418e-12,6.418e-12, 
6.397e-12,6.397e-12, 
3.97e-12,3.97e-12, 
9.395e-13,9.395e-13, 
5.683e-12,5.683e-12, 
4.293e-12,4.293e-12, 
8.663e-12,8.663e-12, 
1.271e-11,1.271e-11, 
8.718e-12,8.718e-12, 
1.08e-11,1.08e-11, 
9.34e-12,9.34e-12, 
8.291e-12,8.291e-12, 
-2.602e-12,-2.602e-12, 
3.275e-12,3.275e-12, 
8.916e-12,8.916e-12, 
3.275e-12,3.275e-12, 
3.667e-12,3.667e-12, 
6.011e-12,6.011e-12, 
3.083e-12,3.083e-12, 
1.272e-12,1.272e-12, 
-1.677e-12,-1.677e-12, 
1.576e-13,1.576e-13, 
4.532e-12,4.532e-12, 
6.992e-12,6.992e-12, 
4.307e-13,4.307e-13, 
5.541e-12,5.541e-12, 
4.433e-12,4.433e-12, 
1.666e-12,1.666e-12, 
-1.896e-12,-1.896e-12, 
3.944e-12,3.944e-12, 
1.291e-11,1.291e-11, 
1.769e-11,1.769e-11, 
1.048e-11,1.048e-11, 
1.677e-11,1.677e-11, 
8.638e-12,8.638e-12, 
5.689e-12,5.689e-12, 
-8.709e-14,-8.709e-14, 
1.896e-11,1.896e-11, 
9.782e-12,9.782e-12, 
4.155e-12,4.155e-12, 
1.104e-11,1.104e-11, 
2.857e-12,2.857e-12, 
6.222e-12,6.222e-12, 
1.643e-12,1.643e-12, 
3.512e-12,3.512e-12, 
3.25e-12,3.25e-12, 
9.044e-12,9.044e-12, 
3.034e-12,3.034e-12, 
4.257e-12,4.257e-12, 
1.175e-11,1.175e-11, 
7.944e-12,7.944e-12, 
1.307e-11,1.307e-11, 
4.436e-12,4.436e-12, 
6.415e-12,6.415e-12, 
5.909e-12,5.909e-12, 
1.094e-11,1.094e-11, 
9.298e-12,9.298e-12, 
3.995e-12,3.995e-12, 
6.762e-12,6.762e-12, 
1.758e-12,1.758e-12, 
6.528e-12,6.528e-12, 
7.361e-12,7.361e-12, 
8.678e-12,8.678e-12, 
1.102e-11,1.102e-11, 
1.671e-11,1.671e-11, 
4.958e-12,4.958e-12, 
6.824e-12,6.824e-12, 
1.27e-11,1.27e-11, 
3.286e-12,3.286e-12, 
1.873e-12,1.873e-12, 
8.606e-12,8.606e-12, 
8.263e-12,8.263e-12, 
9.992e-12,9.992e-12, 
7.19e-12,7.19e-12, 
9.152e-12,9.152e-12, 
5.934e-12,5.934e-12, 
5.155e-12,5.155e-12, 
3.586e-12,3.586e-12, 
4.405e-12,4.405e-12, 
4.435e-12,4.435e-12, 
1.324e-11,1.324e-11, 
1.08e-11,1.08e-11, 
4.083e-12,4.083e-12, 
2.722e-12,2.722e-12, 
6.039e-12,6.039e-12, 
5.22e-12,5.22e-12, 
3.245e-13,3.245e-13, 
1.859e-12,1.859e-12, 
7.004e-12,7.004e-12, 
5.8e-12,5.8e-12, 
3.282e-13,3.282e-13, 
-4.876e-12,-4.876e-12, 
6.279e-12,6.279e-12, 
2.163e-12,2.163e-12, 
-1.391e-13,-1.391e-13, 
2.905e-12,2.905e-12, 
6.59e-12,6.59e-12, 
6.736e-12,6.736e-12, 
9.014e-12,9.014e-12, 
1.24e-12,1.24e-12, 
-5.582e-13,-5.582e-13, 
2.106e-12,2.106e-12, 
-3.424e-13,-3.424e-13, 
-2.332e-12,-2.332e-12, 
1.54e-12,1.54e-12, 
7.154e-12,7.154e-12, 
5.123e-12,5.123e-12, 
4.697e-12,4.697e-12, 
4.959e-12,4.959e-12, 
7.216e-12,7.216e-12, 
3.289e-12,3.289e-12, 
5.704e-12,5.704e-12, 
9.213e-12,9.213e-12, 
7.19e-12,7.19e-12, 
4.965e-13,4.965e-13, 
7.003e-12,7.003e-12, 
1.704e-13,1.704e-13, 
1.192e-11,1.192e-11, 
-2.456e-14,-2.456e-14, 
1.925e-12,1.925e-12, 
3.185e-12,3.185e-12, 
4.282e-12,4.282e-12, 
1.199e-11,1.199e-11, 
2.886e-12,2.886e-12, 
4.362e-12,4.362e-12, 
6.188e-12,6.188e-12, 
5.058e-12,5.058e-12, 
7.481e-13,7.481e-13, 
1.085e-11,1.085e-11, 
4.253e-12,4.253e-12, 
1.399e-11,1.399e-11, 
7.205e-12,7.205e-12, 
9.059e-12,9.059e-12, 
9.209e-12,9.209e-12, 
8.63e-12,8.63e-12, 
1.643e-12,1.643e-12, 
-1.527e-12,-1.527e-12, 
1.157e-11,1.157e-11, 
5.261e-12,5.261e-12, 
5.676e-12,5.676e-12, 
1.357e-12,1.357e-12, 
3.696e-12,3.696e-12, 
4.624e-13,4.624e-13, 
6.381e-12,6.381e-12, 
-4.933e-12,-4.933e-12, 
2.21e-12,2.21e-12, 
2.217e-12,2.217e-12, 
2.15e-12,2.15e-12, 
6.492e-13,6.492e-13, 
3.377e-12,3.377e-12, 
6.773e-12,6.773e-12, 
9.983e-12,9.983e-12, 
6.799e-12,6.799e-12, 
1.25e-13,1.25e-13, 
5.837e-12,5.837e-12, 
7.183e-12,7.183e-12, 
5.562e-12,5.562e-12, 
1.772e-11,1.772e-11, 
2.943e-11,2.943e-11, 
2.013e-11,2.013e-11, 
4.968e-12,4.968e-12, 
5.838e-12,5.838e-12, 
5.542e-12,5.542e-12, 
1.167e-11,1.167e-11, 
1.093e-11,1.093e-11, 
9.995e-12,9.995e-12, 
1.121e-11,1.121e-11, 
5.619e-12,5.619e-12, 
7.287e-12,7.287e-12, 
3.637e-12,3.637e-12, 
9.152e-12,9.152e-12, 
3.995e-12,3.995e-12, 
2.147e-11,2.147e-11, 
2.567e-13,2.567e-13, 
4.213e-12,4.213e-12, 
-2.258e-12,-2.258e-12, 
3.677e-14,3.677e-14, 
5.959e-12,5.959e-12, 
1.511e-12,1.511e-12, 
3.443e-12,3.443e-12, 
7.842e-12,7.842e-12, 
-2.88e-12,-2.88e-12, 
1.126e-11,1.126e-11, 
1.038e-12,1.038e-12, 
2.888e-13,2.888e-13, 
4.664e-12,4.664e-12, 
-3.41e-12,-3.41e-12, 
-4.189e-12,-4.189e-12, 
3.5e-12,3.5e-12, 
6.145e-12,6.145e-12, 
2.621e-12,2.621e-12, 
-4.101e-12,-4.101e-12, 
2.633e-12,2.633e-12, 
-1.297e-12,-1.297e-12, 
4.714e-12,4.714e-12, 
3.568e-12,3.568e-12, 
8.885e-12,8.885e-12, 
8.288e-12,8.288e-12, 
8.192e-12,8.192e-12, 
5.76e-12,5.76e-12, 
9.463e-12,9.463e-12, 
3.133e-12,3.133e-12, 
3.434e-12,3.434e-12, 
6.364e-12,6.364e-12, 
3.324e-12,3.324e-12, 
4.543e-12,4.543e-12, 
1.104e-11,1.104e-11, 
2.028e-13,2.028e-13, 
-2.698e-12,-2.698e-12, 
3.094e-12,3.094e-12, 
3.921e-12,3.921e-12, 
3.855e-13,3.855e-13, 
7.788e-12,7.788e-12, 
2.684e-12,2.684e-12, 
6.44e-12,6.44e-12, 
1.18e-11,1.18e-11, 
3.907e-12,3.907e-12, 
5.132e-12,5.132e-12, 
7.757e-12,7.757e-12, 
1.945e-13,1.945e-13, 
2.664e-12,2.664e-12, 
8.083e-12,8.083e-12, 
2.056e-12,2.056e-12, 
6.175e-12,6.175e-12, 
5.593e-12,5.593e-12, 
4.131e-12,4.131e-12, 
2.235e-12,2.235e-12, 
1.26e-11,1.26e-11, 
6.605e-12,6.605e-12, 
6.938e-12,6.938e-12, 
5.104e-12,5.104e-12, 
3.97e-12,3.97e-12, 
3.124e-12,3.124e-12, 
-2.63e-12,-2.63e-12, 
-4.052e-12,-4.052e-12, 
-3.907e-12,-3.907e-12, 
2.372e-12,2.372e-12, 
4.803e-12,4.803e-12, 
-2.18e-12,-2.18e-12, 
5.718e-12,5.718e-12, 
-2.985e-12,-2.985e-12, 
2.15e-12,2.15e-12, 
-8.587e-13,-8.587e-13, 
2.442e-12,2.442e-12, 
1.891e-12,1.891e-12, 
3.832e-12,3.832e-12, 
-9.227e-14,-9.227e-14, 
1.99e-12,1.99e-12, 
1.506e-12,1.506e-12, 
3.778e-13,3.778e-13, 
-5.504e-13,-5.504e-13, 
-2.004e-12,-2.004e-12, 
-2.064e-12,-2.064e-12, 
-3.572e-13,-3.572e-13, 
-6.085e-12,-6.085e-12, 
-4.865e-12,-4.865e-12, 
4.689e-12,4.689e-12, 
6.606e-12,6.606e-12, 
2.665e-12,2.665e-12, 
4.853e-12,4.853e-12, 
-1.684e-12,-1.684e-12, 
2.394e-12,2.394e-12, 
7.051e-12,7.051e-12, 
2.244e-12,2.244e-12, 
3.767e-12,3.767e-12, 
-5.44e-13,-5.44e-13, 
-6.778e-13,-6.778e-13, 
1.923e-12,1.923e-12, 
8.983e-13,8.983e-13, 
-3.41e-12,-3.41e-12, 
-2.18e-12,-2.18e-12, 
-1.275e-12,-1.275e-12, 
-3.134e-12,-3.134e-12, 
1.049e-12,1.049e-12, 
3.87e-12,3.87e-12, 
3.688e-12,3.688e-12, 
1.897e-12,1.897e-12, 
3.685e-12,3.685e-12, 
3.427e-12,3.427e-12, 
4.216e-13,4.216e-13, 
-2.505e-12,-2.505e-12, 
5.234e-14,5.234e-14, 
8.394e-12,8.394e-12, 
5.65e-12,5.65e-12, 
1.164e-12,1.164e-12, 
6.832e-12,6.832e-12, 
1.427e-11,1.427e-11, 
8.601e-12,8.601e-12, 
5.524e-12,5.524e-12, 
-3.38e-12,-3.38e-12, 
4.914e-12,4.914e-12, 
4.159e-12,4.159e-12, 
3.276e-12,3.276e-12, 
3.529e-12,3.529e-12, 
3.67e-12,3.67e-12, 
7.861e-12,7.861e-12, 
1.144e-11,1.144e-11, 
1.374e-11,1.374e-11, 
1.511e-11,1.511e-11, 
1.893e-11,1.893e-11, 
3.403e-12,3.403e-12, 
8.388e-12,8.388e-12, 
4.532e-12,4.532e-12, 
4.99e-12,4.99e-12, 
5.625e-12,5.625e-12, 
7.484e-12,7.484e-12, 
6.383e-12,6.383e-12, 
3.378e-12,3.378e-12, 
6.861e-12,6.861e-12, 
5.095e-12,5.095e-12, 
6.781e-12,6.781e-12, 
7.85e-12,7.85e-12, 
2.477e-12,2.477e-12, 
7.7e-12,7.7e-12, 
3.702e-12,3.702e-12, 
8.063e-12,8.063e-12, 
4.296e-12,4.296e-12, 
3.662e-12,3.662e-12, 
3.85e-12,3.85e-12, 
5.868e-12,5.868e-12, 
2.434e-12,2.434e-12, 
3.353e-12,3.353e-12, 
8.299e-12,8.299e-12, 
5.561e-13,5.561e-13, 
1.826e-12,1.826e-12, 
-2.607e-12,-2.607e-12, 
1.267e-12,1.267e-12, 
2.738e-12,2.738e-12, 
-1.179e-12,-1.179e-12, 
5.494e-12,5.494e-12, 
1.806e-12,1.806e-12, 
-6.742e-13,-6.742e-13, 
6.702e-12,6.702e-12, 
-1.704e-12,-1.704e-12, 
3.836e-12,3.836e-12, 
6.684e-12,6.684e-12, 
1.003e-12,1.003e-12, 
5.402e-12,5.402e-12, 
1.103e-12,1.103e-12, 
-3.384e-13,-3.384e-13, 
8.12e-13,8.12e-13, 
-1.055e-12,-1.055e-12, 
1.249e-12,1.249e-12, 
3.653e-12,3.653e-12, 
5.746e-12,5.746e-12, 
-1.988e-13,-1.988e-13, 
2.331e-12,2.331e-12, 
2.038e-13,2.038e-13, 
3.299e-12,3.299e-12, 
2.824e-12,2.824e-12, 
3.363e-12,3.363e-12, 
5.794e-13,5.794e-13, 
1.079e-12,1.079e-12, 
-1.191e-12,-1.191e-12, 
-2.362e-12,-2.362e-12, 
2.389e-13,2.389e-13, 
7.851e-12,7.851e-12, 
3.776e-12,3.776e-12, 
7.705e-12,7.705e-12, 
3.054e-12,3.054e-12, 
3.265e-12,3.265e-12, 
2.198e-12,2.198e-12, 
1.445e-12,1.445e-12, 
-1.999e-12,-1.999e-12, 
-6.438e-12,-6.438e-12, 
1.069e-12,1.069e-12, 
3.895e-12,3.895e-12, 
-1.678e-12,-1.678e-12, 
4.364e-12,4.364e-12, 
8.977e-12,8.977e-12, 
3.845e-13,3.845e-13, 
-2.227e-12,-2.227e-12, 
1.765e-12,1.765e-12, 
2.619e-13,2.619e-13, 
6.738e-12,6.738e-12, 
5.439e-12,5.439e-12, 
-6.411e-13,-6.411e-13, 
2.317e-12,2.317e-12, 
-3.702e-12,-3.702e-12, 
3.02e-12,3.02e-12, 
-2.164e-12,-2.164e-12, 
5.045e-12,5.045e-12, 
3.572e-12,3.572e-12, 
3.454e-12,3.454e-12, 
1.984e-12,1.984e-12, 
2.048e-12,2.048e-12, 
2.291e-12,2.291e-12, 
-1.456e-12,-1.456e-12, 
7.298e-13,7.298e-13, 
9.975e-13,9.975e-13, 
1.871e-12,1.871e-12, 
-8.018e-13,-8.018e-13, 
1.435e-12,1.435e-12, 
1.459e-12,1.459e-12, 
4.745e-12,4.745e-12, 
-1.732e-12,-1.732e-12, 
-1.879e-12,-1.879e-12, 
4.523e-12,4.523e-12, 
-7.873e-14,-7.873e-14, 
-1.762e-12,-1.762e-12, 
4.948e-12,4.948e-12, 
-6.107e-13,-6.107e-13, 
8.851e-12,8.851e-12, 
